============== Log Started ==============
Application: cmake_test1117
Version: 
Timestamp: 2025-08-26 22:53:20
=========================================

[2025-08-26 22:53:20.331] [DEBUG] 界面上步态绘图区域长 宽：1331 287
[2025-08-26 22:53:21.478] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:28.912] [DEBUG] 点击开始静态测试时生成的保存数据的文件地址C:/Users/Lenovo/Desktop/git_butai/build-cmake_test1117-Desktop_Qt_6_6_1_MSVC2019_64bit-Debug/data_jingtai/2025_08_26_22_53_28_dataRecord_Jingtai.txt
[2025-08-26 22:53:32.501] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.552] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.601] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.652] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.699] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.744] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:32.792] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:33.889] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:34.006] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:39.523] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:42.435] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:53:42.481] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:12.784] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:12.842] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:15.700] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:16.750] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:16.793] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:17.815] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:19.570] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:54:19.610] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:51.678] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:51.719] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:54.938] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:54.978] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:58.980] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:58:59.021] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:01.550] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:01.590] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:07.659] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:07.699] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:11.401] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:12.899] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:12.940] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:13.761] [DEBUG] 点击开始静态测试时生成的保存数据的文件地址C:/Users/Lenovo/Desktop/git_butai/build-cmake_test1117-Desktop_Qt_6_6_1_MSVC2019_64bit-Debug/data_jingtai/2025_08_26_22_59_13_dataRecord_Jingtai.txt
[2025-08-26 22:59:15.230] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:15.272] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:39.724] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:39.766] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:41.757] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:43.259] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-26 22:59:43.303] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
